LLM_Model,Embedding_Model,Total_Queries,Avg_SAGE_Latency_s,Avg_Traditional_Latency_s,Avg_Similarity,Avg_ROUGE,SAGE_Faster_%
llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,10,6.057829904556274,3.94191427230835,0.55,0.4857943831829347,-53.67736297849175
llama-3.3-70b-versatile,all-mpnet-base-v2,10,2.2441579580307005,1.6098389625549316,0.55,0.44362530179936577,-39.40263655123979
llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,10,3.7705148458480835,4.375620746612549,0.55,0.41967805694812366,13.82902988639766
llama-3.1-8b-instant,all-mpnet-base-v2,10,3.562161993980408,3.395820689201355,0.55,0.4178973027024582,-4.89841249003562
